,0
???,334
Alpha-MN,1989
CSF-cNs,121
Cholinergic-IN,1217
Ependymal,107
GABA-Dorsal-1,465
GABA-Dorsal-10,385
GABA-Dorsal-2,110
GABA-Dorsal-3,205
GABA-Dorsal-4,752
GABA-Dorsal-5,592
GABA-Dorsal-6,127
GABA-Dorsal-7,142
GABA-Dorsal-8,90
GABA-Dorsal-9,110
GABA-Gluta,318
GABA-M-1,823
GABA-M-2,786
GABA-V-1,171
GABA-V-2,1189
GM Astrocytes,110
Gamma-MN,1950
Gamma_star-MN,2029
Gluta-Dorsal-1,76
Gluta-Dorsal-10,82
Gluta-Dorsal-11,87
Gluta-Dorsal-12,78
Gluta-Dorsal-2,73
Gluta-Dorsal-3,92
Gluta-Dorsal-4,121
Gluta-Dorsal-5,69
Gluta-Dorsal-6,64
Gluta-Dorsal-7,90
Gluta-Dorsal-8,60
Gluta-Dorsal-9,106
Gluta-M-1,365
Gluta-M-2,1141
Gluta-V-1,1141
Lymphocytes,17
Macrophages,260
Meninges,64
Microglia,89
OPC,71
Oligo Progenitor,167
Oligo-1,144
Oligo-2,115
Pericytes/SM,45
Schwann,483
Ven/Cap Endothelial,168
Visceral Motor Neurons,1329
WM Astrocytes,148
